Letra,Condición,Definición,Respuesta,Tema,Nivel
Ñ,Contiene,Parte musical que sirve de fondo y apoyo a la melodía principal.,Acompañamiento,Música,Fácil
Ñ,Contiene,"Instrumento de percusión de madera, que se toca con los dedos, típico del folclore español.",Castañuelas,Música,Fácil
O,Empieza,Obra teatral clásica donde los actores cantan sus papeles en lugar de hablarlos.,Ópera,Música,Fácil
O,Empieza,"Conjunto numeroso de músicos que tocan juntos instrumentos de cuerda, viento y percusión.",Orquesta,Música,Fácil
P,Empieza,Texto de una composición musical escrito sobre un pentagrama.,Partitura,Música,Fácil
P,Empieza,Instrumento de teclado con cuerdas golpeadas en su interior.,Piano,Música,Fácil
Q,Contiene,Persona a la que le gusta mucho escuchar o tocar música rock.,Roquero,Música,Fácil
Q,Contiene,"Acción de hacer sonar un instrumento, como el ""... de campanas"".",Toque,Música,Fácil
R,Empieza,Orden y proporción de los sonidos en el tiempo; el pulso de la canción.,Ritmo,Música,Fácil
R,Empieza,Género musical al que pertenecen bandas legendarias como The Beatles o Queen.,Rock,Música,Fácil
S,Empieza,Composición musical extensa y compleja escrita para ser tocada por una orquesta.,Sinfonía,Música,Fácil
S,Empieza,Músico o cantante que actúa solo o tiene el papel principal en una pieza.,Solista,Música,Fácil
T,Empieza,Instrumento de percusión cilíndrico que se golpea con palillos o baquetas.,Tambor,Música,Fácil
T,Empieza,Instrumento de viento metal que suele tener tres pistones.,Trompeta,Música,Fácil
U,Empieza,"Instrumento de cuerda similar a una guitarra pequeña, típico de la música hawaiana.",Ukelele,Música,Fácil
U,Empieza,Efecto que se produce cuando varias voces o instrumentos suenan exactamente en la misma nota.,Unísono,Música,Fácil
V,Empieza,"Instrumento de cuerda frotada, el más pequeño de su familia, que se apoya en el hombro.",Violín,Música,Fácil
V,Empieza,Sonido emitido por las cuerdas vocales que el cantante utiliza como instrumento.,Voz,Música,Fácil
W,Contiene,"Espectáculo en vivo, a menudo con gran despliegue visual de luces y música.",Show,Música,Fácil
W,Contiene,Estilo de jazz muy rítmico y bailable nacido en la década de 1930.,Swing,Música,Fácil
X,Contiene,"Instrumento de viento metal, curvado, muy utilizado en el jazz y patentado por Adolphe Sax.",Saxofón,Música,Fácil
X,Empieza,Instrumento de percusión formado por láminas de madera afinadas que se golpean con mazos.,Xilófono,Música,Fácil
Y,Contiene,Práctica preparatoria que realizan los músicos antes de presentarse en directo.,Ensayo,Música,Fácil
Y,Contiene,Simulación de estar cantando o tocando mientras realmente suena una pista de audio grabada.,Playback,Música,Fácil
Z,Contiene,Sucesión de movimientos del cuerpo realizados al ritmo de la música.,Danza,Música,Fácil
Z,Empieza,Género musical escénico tradicional de España que mezcla partes cantadas y habladas.,Zarzuela,Música,Fácil
A,Empieza,Sucesión de los sonidos de un acorde tocados uno tras otro.,Arpegio,Música,Medio
A,Empieza,"Composición musical escrita para una sola voz, típica de la ópera.",Aria,Música,Medio
B,Empieza,"Voz masculina de registro medio, situada entre el tenor y el bajo.",Barítono,Música,Medio
B,Empieza,Palo corto con el que el director marca el compás a la orquesta.,Batuta,Música,Medio
C,Empieza,Entidad métrica musical compuesta por varias unidades de tiempo.,Compás,Música,Medio
C,Empieza,Signo que se coloca al principio del pentagrama para dar nombre a las notas.,Clave,Música,Medio
D,Empieza,Instrumento metálico en forma de horquilla que al vibrar da un tono puro para afinar.,Diapasón,Música,Medio
D,Empieza,Mezcla de sonidos que resultan faltos de armonía o crean tensión acústica.,Disonancia,Música,Medio
E,Empieza,Sucesión ordenada de notas musicales.,Escala,Música,Medio
E,Empieza,Pieza musical compuesta para perfeccionar una técnica instrumental específica.,Estudio,Música,Medio
F,Empieza,Técnica vocal que permite alcanzar notas más agudas que el registro natural.,Falsete,Música,Medio
F,Empieza,Pieza musical polifónica donde un tema se repite y desarrolla por diferentes voces.,Fuga,Música,Medio
G,Empieza,Deslizamiento rápido de un tono a otro continuo a través de los tonos intermedios.,Glissando,Música,Medio
G,Empieza,Música religiosa de origen afroamericano caracterizada por su energía y coros.,Góspel,Música,Medio
H,Empieza,"Danza de origen cubano, de compás binario y ritmo pausado.",Habanera,Música,Medio
H,Empieza,Textura musical en la que varias voces se mueven simultáneamente con los mismos ritmos.,Homofonía,Música,Medio
I,Empieza,Distancia de altura que hay entre dos notas musicales.,Intervalo,Música,Medio
I,Empieza,Creación musical espontánea que se realiza en el momento de la interpretación.,Improvisación,Música,Medio
J,Empieza,Melodía publicitaria corta y fácil de recordar.,Jingle,Música,Medio
J,Empieza,Encuentro informal de músicos para tocar e improvisar sin ensayo previo.,Jam,Música,Medio
K,Empieza,Instrumento de viento pequeño que modifica la voz humana al zumbar en él.,Kazoo,Música,Medio
K,Empieza,Teclado electrónico que se cuelga al cuello como si fuera una guitarra.,Keytar,Música,Medio
L,Empieza,Texto que contiene los diálogos y las letras de una ópera o zarzuela.,Libreto,Música,Medio
L,Empieza,"Artesano que construye, ajusta y repara instrumentos de cuerda.",Luthier,Música,Medio
M,Empieza,Aparato que marca con exactitud la velocidad a la que debe ir una obra musical.,Metrónomo,Música,Medio
M,Empieza,"Composición breve para varias voces, típica del Renacimiento, generalmente de tema profano.",Madrigal,Música,Medio
N,Empieza,"Pieza musical de carácter soñador y melancólico, popularizada por Chopin.",Nocturno,Música,Medio
N,Empieza,Símbolo musical usado en la notación gregoriana antes del pentagrama moderno.,Neuma,Música,Medio
Ñ,Contiene,"Lámina flexible, generalmente de madera, que vibra en la boquilla de algunos instrumentos de viento.",Caña,Música,Medio
Ñ,Contiene,"Danza popular gallega de compás ternario, acompañada frecuentemente por gaita.",Muñeira,Música,Medio
O,Empieza,Intervalo de ocho grados entre dos notas de la escala musical.,Octava,Música,Medio
O,Empieza,Pieza instrumental que precede y sirve de introducción a una ópera u obra extensa.,Obertura,Música,Medio
P,Empieza,Conjunto de cinco líneas paralelas y cuatro espacios donde se escriben las notas.,Pentagrama,Música,Medio
P,Empieza,Textura musical que combina varias voces o melodías independientes y simultáneas.,Polifonía,Música,Medio
Q,Contiene,Agrupación musical formada por cinco voces o instrumentos.,Quinteto,Música,Medio
Q,Contiene,Pequeña guitarra de tono agudo usada en la música tradicional hispanoamericana.,Requinto,Música,Medio
R,Empieza,Composición musical dedicada a la memoria de un difunto.,Réquiem,Música,Medio
R,Empieza,Frase musical corta y repetitiva que suele ser la base de una canción de rock.,Riff,Música,Medio
S,Empieza,Signo musical que eleva medio tono la altura de una nota natural.,Sostenido,Música,Medio
S,Empieza,Voz humana femenina de registro más agudo.,Soprano,Música,Medio
T,Empieza,Velocidad a la que debe interpretarse una composición musical.,Tempo,Música,Medio
T,Empieza,Resalte de metal en el mástil de la guitarra que separa las notas.,Traste,Música,Medio
U,Empieza,Formato de concierto o disco en el que se utilizan instrumentos acústicos en lugar de eléctricos.,Unplugged,Música,Medio
U,Empieza,Música alternativa que se desarrolla al margen de la industria comercial y masiva.,Underground,Música,Medio
V,Empieza,Fluctuación periódica en el tono o altura de una nota para darle expresividad.,Vibrato,Música,Medio
V,Empieza,Músico que domina de forma extraordinaria la técnica de su instrumento.,Virtuoso,Música,Medio
W,Empieza,Pedal de efectos para guitarra eléctrica que altera el tono creando un sonido vocal.,Wah-wah,Música,Medio
W,Contiene,"Apellido del influyente músico británico conocido como el ""Duque Blanco"".",Bowie,Música,Medio
X,Contiene,Apellido del famoso e influyente guitarrista zurdo estadounidense de nombre Jimi.,Hendrix,Música,Medio
X,Contiene,Coro musical que está formado tanto por voces femeninas como masculinas.,Mixto,Música,Medio
Y,Empieza,Tambor africano con forma de cáliz que se toca directamente con las manos.,Yembé,Música,Medio
Y,Empieza,Canto tradicional de los Alpes caracterizado por cambios bruscos de registro vocal.,Yodel,Música,Medio
Z,Empieza,Instrumento rústico de fricción muy popular en España durante la Navidad.,Zambomba,Música,Medio
Z,Contiene,Técnica de tocar instrumentos de cuerda frotada pellizcando las cuerdas con los dedos.,Pizzicato,Música,Medio
A,Empieza,Nota o grupo de notas iniciales de una frase musical que preceden al primer tiempo fuerte.,Anacrusa,Música,Difícil
A,Empieza,Falta de tono o incapacidad cerebral para percibir o reconocer tonos musicales.,Amusia,Música,Difícil
B,Empieza,"Estilo de jazz de los años 40 caracterizado por tempos rápidos, asimetría y virtuosismo.",Bebop,Música,Difícil
B,Empieza,Canto a dos voces donde una mantiene una nota pedal constante y grave.,Bordón,Música,Difícil
C,Empieza,Adorno vocal que consiste en un pasaje rápido de varias notas cantadas sobre una sola sílaba.,Coloratura,Música,Difícil
C,Empieza,Instrumento de teclado del periodo barroco cuyas cuerdas son pellizcadas por púas.,Clavecín,Música,Difícil
D,Empieza,Sistema musical de doce sonidos basado en la escala cromática introducido por Schoenberg.,Dodecafonismo,Música,Difícil
D,Empieza,Término italiano que indica la disminución gradual de la intensidad del sonido.,Decrescendo,Música,Difícil
E,Empieza,Primera parte de la forma sonata donde se presentan los temas principales de la obra.,Exposición,Música,Difícil
E,Empieza,"Instrumento de cuerda percutida con teclado, de pequeño tamaño, antecesor del piano.",Espineta,Música,Difícil
F,Empieza,Agrupación musical formada exclusivamente por instrumentos de viento metal y percusión.,Fanfarria,Música,Difícil
F,Empieza,"En notación musical, signo de calderón que indica una pausa prolongada a voluntad del intérprete.",Fermata,Música,Difícil
G,Empieza,"Canto litúrgico oficial de la Iglesia católica romana, monofónico, a capela y en latín.",Gregoriano,Música,Difícil
G,Empieza,"Instrumento de percusión metálico formado por láminas afinadas, usado en la orquesta sinfónica.",Glockenspiel,Música,Difícil
H,Empieza,Escala musical compuesta por siete sonidos diferentes.,Heptatónica,Música,Difícil
H,Empieza,Género musical folclórico peruano y andino de origen precolombino.,Huayno,Música,Difícil
I,Empieza,Modificación de la estructura armónica manteniendo las mismas notas pero cambiando la del bajo.,Inversión,Música,Difícil
I,Empieza,Canto litúrgico gregoriano que acompaña la entrada del celebrante en la misa.,Introito,Música,Difícil
J,Empieza,"Danza y canto popular del Siglo de Oro español de carácter alegre, pícaro y burlesco.",Jácara,Música,Difícil
J,Empieza,"Estilo de cante flamenco considerado el más primitivo, genuino y profundo.",Jondo,Música,Difícil
K,Empieza,Género de música instrumental tradicional de los judíos asquenazíes de Europa del Este.,Klezmer,Música,Difícil
K,Empieza,"Instrumento tradicional de origen japonés, que consiste en una cítara de trece cuerdas.",Koto,Música,Difícil
L,Empieza,"Pequeña indicación temática musical que representa a un personaje o idea, muy usada por Wagner.",Leitmotiv,Música,Difícil
L,Empieza,"Instrumento antiguo de cuerda pulsada con el mástil doblado hacia atrás, popular en el Renacimiento.",Laúd,Música,Difícil
M,Empieza,"Composición vocal polifónica, de tema generalmente religioso, nacida en el siglo XIII.",Motete,Música,Difícil
M,Empieza,Adorno vocal consistente en cantar varias notas seguidas sobre una misma sílaba del texto.,Melisma,Música,Difícil
N,Empieza,Corriente musical del siglo XX que buscaba la vuelta a las formas clásicas pero con lenguaje moderno.,Neoclasicismo,Música,Difícil
N,Empieza,"En armonía, acorde de sexta que se forma sobre el segundo grado rebajado de una escala.",Napolitana,Música,Difícil
Ñ,Contiene,Instrumento de viento andino formado por tubos de caña de diferentes longitudes unidos en fila.,Zampoña,Música,Difícil
Ñ,Contiene,"Instrumento musical antiguo de cuerda frotada, cuya rueda de resina se hace girar con una manivela.",Zanfoña,Música,Difícil
O,Empieza,"Composición dramática musical, generalmente de tema religioso, sin escenificación ni vestuario.",Oratorio,Música,Difícil
O,Empieza,Figura rítmica de valoración especial formada por ocho notas que equivalen a seis de su misma especie.,Octillo,Música,Difícil
P,Empieza,"Serie de danzas instrumentales del Barroco, término frecuentemente sinónimo de suite.",Partita,Música,Difícil
P,Empieza,"Composición de forma libre, a menudo virtuosa, que suele servir de introducción a una fuga.",Preludio,Música,Difícil
Q,Empieza,"Expresión vocal profunda y desgarradora, semejante a un lamento, característica del cante flamenco.",Quejío,Música,Difícil
Q,Contiene,Acción de tañer las campanas rítmicamente en señal de celebración o festividad.,Repique,Música,Difícil
R,Empieza,Forma musical de origen medieval en la que un tema principal o estribillo se alterna con temas secundarios.,Rondó,Música,Difícil
R,Empieza,"Conjunto de las obras, canciones o papeles que un artista o compañía tiene preparados para interpretar.",Repertorio,Música,Difícil
S,Empieza,"Pieza breve, a menudo parte de una sonata o sinfonía, de carácter ligero, rápido e independiente.",Scherzo,Música,Difícil
S,Empieza,Desplazamiento del acento musical a un tiempo o parte débil del compás.,Síncopa,Música,Difícil
T,Empieza,"Intervalo musical que abarca tres tonos enteros, conocido en la Edad Media como el ""diabolus in musica"".",Tritono,Música,Difícil
T,Empieza,Sistema de afinación histórica y teórica que ajusta las distancias de los intervalos para afinar escalas.,Temperamento,Música,Difícil
U,Empieza,"Sílaba original que daba nombre a la primera nota de la escala musical antes de ser sustituida por el ""Do"".",Ut,Música,Difícil
U,Contiene,"Instrumento tradicional ruso de cuerdas pulsadas, parecido a una cítara.",Gusli,Música,Difícil
V,Empieza,Instrumento de cuerda frotada del Renacimiento y Barroco que se toca sostenido verticalmente entre las piernas.,Viola da gamba,Música,Difícil
V,Empieza,"Instrumento renacentista de cuerda pulsada, similar a la guitarra, muy popular en la corte española.",Vihuela,Música,Difícil
W,Empieza,"Apellido del compositor alemán, creador del monumental ciclo de cuatro óperas ""El anillo del nibelungo"".",Wagner,Música,Difícil
W,Empieza,"Ópera atonal del compositor austriaco Alban Berg, de gran carga psicológica, estrenada en 1925.",Wozzeck,Música,Difícil
X,Contiene,Escala musical teórica de seis sonidos desarrollada en la Edad Media por Guido d'Arezzo.,Hexacordo,Música,Difícil
X,Contiene,Canto de alabanza litúrgica a Dios propio de la tradición cristiana ortodoxa y católica.,Doxología,Música,Difícil
Y,Empieza,"Canto dulce y melancólico tradicional de los Andes, de origen incaico, que expresa tristeza.",Yaraví,Música,Difícil
Y,Contiene,Canción estrófica inglesa del Renacimiento escrita para voz solista con acompañamiento de laúd.,Ayre,Música,Difícil
Z,Empieza,Danza barroca española de compás ternario y movimiento solemne que formaba parte de la suite instrumental.,Zarabanda,Música,Difícil
Z,Empieza,"Danza popular española y latinoamericana de ritmo vivo, ejecutada golpeando el suelo rítmicamente con los zapatos.",Zapateado,Música,Difícil
A,Empieza,Persona que crea o escribe una obra literaria.,Autor,Literatura,Fácil
A,Empieza,Narración breve y curiosa de un suceso real o divertido.,Anécdota,Literatura,Fácil
B,Empieza,"Lugar, edificio o sala donde se guardan, consultan y prestan libros.",Biblioteca,Literatura,Fácil
B,Empieza,Libro o texto que cuenta la vida de una persona.,Biografía,Literatura,Fácil
C,Empieza,"Narración breve de ficción, con argumento sencillo, muy habitual para niños.",Cuento,Literatura,Fácil
C,Empieza,Cada una de las partes principales en las que se divide un libro o novela.,Capítulo,Literatura,Fácil
D,Empieza,Conversación escrita entre dos o más personajes en una obra literaria o teatral.,Diálogo,Literatura,Fácil
D,Empieza,Libro que recoge y explica el significado de las palabras de un idioma.,Diccionario,Literatura,Fácil
E,Empieza,Persona que se dedica profesionalmente a escribir libros.,Escritor,Literatura,Fácil
E,Empieza,Obra de consulta que recoge conocimientos generales sobre muchas materias.,Enciclopedia,Literatura,Fácil
F,Empieza,"Relato literario breve, a menudo con animales, que termina con una enseñanza o moraleja.",Fábula,Literatura,Fácil
F,Empieza,"Tipo de literatura que narra historias, personajes y sucesos inventados o imaginarios.",Ficción,Literatura,Fácil
G,Empieza,"Categoría para clasificar las obras literarias, como poesía, teatro o novela.",Género,Literatura,Fácil
G,Empieza,Texto escrito que contiene los diálogos y detalles para representar una obra teatral o película.,Guion,Literatura,Fácil
H,Empieza,"Sucesión de hechos o eventos, reales o inventados, que se narran en un libro.",Historia,Literatura,Fácil
H,Empieza,Personaje principal de una obra literaria que realiza hazañas y actos valerosos.,Héroe,Literatura,Fácil
I,Empieza,Parte inicial de un libro que presenta el tema antes de comenzar a desarrollarlo.,Introducción,Literatura,Fácil
I,Empieza,Dibujo o imagen que acompaña al texto de un libro para adornarlo o explicarlo.,Ilustración,Literatura,Fácil
J,Empieza,"Artista medieval que iba de pueblo en pueblo recitando poemas, historias y cantando.",Juglar,Literatura,Fácil
J,Empieza,Nombre de la joven protagonista que vive un trágico amor con Romeo en la obra de Shakespeare.,Julieta,Literatura,Fácil
K,Empieza,"Apellido del famoso escritor checo autor de la novela ""La metamorfosis"".",Kafka,Literatura,Fácil
K,Empieza,"Dispositivo electrónico muy popular creado por Amazon, diseñado específicamente para leer libros digitales.",Kindle,Literatura,Fácil
L,Empieza,Conjunto de hojas de papel impresas y encuadernadas que forman una obra que se puede leer.,Libro,Literatura,Fácil
L,Empieza,"Persona que lee un libro, un texto o cualquier obra literaria.",Lector,Literatura,Fácil
M,Empieza,"Enseñanza, consejo o lección moral que se deduce al final de una fábula.",Moraleja,Literatura,Fácil
M,Empieza,"Relato tradicional, protagonizado por dioses o héroes, que explica el origen del mundo.",Mito,Literatura,Fácil
N,Empieza,Obra literaria extensa en prosa que cuenta una historia de ficción.,Novela,Literatura,Fácil
N,Empieza,Voz o personaje que se encarga de contar la historia en un relato o libro.,Narrador,Literatura,Fácil
Ñ,Contiene,Recuadro delimitado con dibujos y texto que forma parte de un cómic o historieta.,Viñeta,Literatura,Fácil
Ñ,Contiene,Escrito breve publicado en prensa o internet en el que se resume y valora un libro recién salido.,Reseña,Literatura,Fácil
O,Empieza,"Creación literaria o artística, como un libro, un poema o un cuadro.",Obra,Literatura,Fácil
O,Empieza,"Poema lírico de tono elevado creado para alabar, homenajear o celebrar a alguien o algo.",Oda,Literatura,Fácil
P,Empieza,Cada una de las dos caras de una hoja de papel dentro de un libro.,Página,Literatura,Fácil
P,Empieza,"Composición literaria escrita en verso que expresa emociones, belleza o sentimientos.",Poema,Literatura,Fácil
Q,Empieza,Sobrenombre del famoso hidalgo creado por Cervantes que luchaba contra molinos de viento.,Quijote,Literatura,Fácil
Q,Contiene,Representación gráfica o resumen muy visual de las ideas principales de un texto.,Esquema,Literatura,Fácil
R,Empieza,Texto breve que expone las ideas principales o el argumento de un libro más largo.,Resumen,Literatura,Fácil
R,Empieza,Igualdad o semejanza de sonidos al final de los versos de un poema.,Rima,Literatura,Fácil
S,Empieza,"Conjunto de libros o novelas que comparten el mismo universo, personajes o historia continuada.",Saga,Literatura,Fácil
S,Empieza,"Apellido del escritor y dramaturgo inglés más famoso de todos los tiempos, autor de ""Hamlet"".",Shakespeare,Literatura,Fácil
T,Empieza,"Nombre que se le da a un libro, cuento o poema para identificarlo.",Título,Literatura,Fácil
T,Empieza,"Conjunto de palabras escritas que forman un mensaje, un documento o el contenido de un libro.",Texto,Literatura,Fácil
U,Empieza,"Sociedad o lugar imaginario y perfecto descrito en la literatura, donde todo funciona con armonía.",Utopía,Literatura,Fácil
U,Empieza,"Mundo imaginario y mágico creado por un autor para ambientar su historia, como el de Harry Potter.",Universo,Literatura,Fácil
V,Empieza,Cada una de las líneas o renglones cortos sujetos a ritmo que forman un poema.,Verso,Literatura,Fácil
V,Empieza,Cada uno de los libros individuales que forman una obra literaria o enciclopedia completa.,Volumen,Literatura,Fácil
W,Empieza,Famosa plataforma en internet donde escritores aficionados publican y leen historias gratis.,Wattpad,Literatura,Fácil
W,Contiene,Apellido de la escritora británica (J.K. ...) creadora del personaje Harry Potter.,Rowling,Literatura,Fácil
X,Contiene,"Conjunto de palabras, vocabulario o expresiones que conoce o usa un escritor en su obra.",Léxico,Literatura,Fácil
X,Contiene,"Parte final añadida a un libro donde se incluyen documentos, mapas o datos complementarios.",Anexo,Literatura,Fácil
Y,Contiene,Narración tradicional que mezcla hechos reales con sucesos maravillosos o fantásticos.,Leyenda,Literatura,Fácil
Y,Contiene,Texto literario en prosa en el que un autor reflexiona y opina sobre un tema específico.,Ensayo,Literatura,Fácil
Z,Empieza,"Calzado de cristal que pierde la protagonista del cuento clásico ""Cenicienta"".",Zapato,Literatura,Fácil
Z,Empieza,"Apellido del escritor español (José ...) famoso por ser el autor de la obra de teatro ""Don Juan Tenorio"".",Zorrilla,Literatura,Fácil
A,Empieza,Repetición de un mismo sonido en varias palabras de una misma frase para producir un efecto sonoro.,Aliteración,Literatura,Medio
A,Empieza,"Recopilación de obras literarias notables, ya sean de un solo autor o de varios.",Antología,Literatura,Medio
B,Empieza,Libro de gran éxito comercial que alcanza rápidamente el número uno de ventas.,Best seller,Literatura,Medio
B,Empieza,Poema o novela que trata e idealiza la vida apacible de los pastores en el campo.,Bucólica,Literatura,Medio
C,Empieza,"Obra dramática o teatral de tono alegre y divertido, que suele tener un final feliz.",Comedia,Literatura,Medio
C,Empieza,Poema en el que las letras de los versos forman un dibujo relacionado con el tema del texto.,Caligrama,Literatura,Medio
D,Empieza,Parte final de una obra literaria o teatral en la que se resuelve la trama o el conflicto.,Desenlace,Literatura,Medio
D,Empieza,"Obra de teatro o cine en la que suceden acciones graves o desgraciadas, sin llegar a la tragedia.",Drama,Literatura,Medio
E,Empieza,Composición poética en la que el autor lamenta la muerte de una persona o una desgracia.,Elegía,Literatura,Medio
E,Empieza,"Adjetivo que destaca una cualidad propia o característica del sustantivo al que acompaña, como ""blanca nieve"".",Epíteto,Literatura,Medio
F,Empieza,Novela dramática por episodios y de carácter popular que se publicaba antiguamente en los periódicos.,Folletín,Literatura,Medio
F,Empieza,"Obra de teatro cómica, a menudo breve, con personajes y situaciones grotescas o exageradas.",Farsa,Literatura,Medio
G,Empieza,"Corriente literaria que se caracteriza por atmósferas misteriosas, castillos ruinosos, terror y romance.",Gótico,Literatura,Medio
G,Empieza,"Conjunto de escritores que viven en la misma época y comparten un estilo literario, como la del 98.",Generación,Literatura,Medio
H,Empieza,Figura retórica que consiste en alterar el orden lógico de las palabras en una oración para darle efecto poético.,Hipérbaton,Literatura,Medio
H,Empieza,"Exageración desproporcionada de un hecho, cualidad o situación en un texto literario.",Hipérbole,Literatura,Medio
I,Empieza,Figura literaria mediante la cual se da a entender exactamente lo contrario de lo que se está diciendo.,Ironía,Literatura,Medio
I,Empieza,"Acción misteriosa que sirve de base a la trama de una obra dramática, novela o de suspense.",Intriga,Literatura,Medio
J,Empieza,Conjunto de expresiones o vocabulario específico que utilizan los miembros de un determinado grupo social.,Jerga,Literatura,Medio
J,Empieza,"Apellido del célebre escritor irlandés, famoso por su compleja y revolucionaria novela ""Ulises"".",Joyce,Literatura,Medio
K,Empieza,"Apellido del escritor británico nacido en India (Rudyard ...), autor de ""El libro de la selva"".",Kipling,Literatura,Medio
K,Contiene,"Poema breve tradicional japonés de diecisiete sílabas escritas en tres versos, habitualmente sobre la naturaleza.",Haiku,Literatura,Medio
L,Empieza,"Género literario en el que el autor expresa sus sentimientos, pensamientos y emociones íntimas.",Lírica,Literatura,Medio
L,Empieza,Adjetivo usado para referirse a un escritor o poeta que ha sido galardonado o premiado con gran honor.,Laureado,Literatura,Medio
M,Empieza,Identificación de un término real con uno imaginario por la semejanza que existe entre ellos.,Metáfora,Literatura,Medio
M,Empieza,Discurso dicho por una sola persona que se dirige a sí misma o al público sin esperar respuesta.,Monólogo,Literatura,Medio
N,Empieza,Parte de una narración literaria donde surge el problema o el momento de mayor tensión antes del desenlace.,Nudo,Literatura,Medio
N,Empieza,Corriente literaria derivada del realismo que describe el comportamiento humano con extrema objetividad.,Naturalismo,Literatura,Medio
Ñ,Contiene,"Pájaro cantor que protagoniza el verso ""sino por una avecilla que me cantaba al albor"" en un famoso romance.",Ruiseñor,Literatura,Medio
Ñ,Contiene,"Palabra que completa el título de la novela más famosa de Gabriel García Márquez: ""Cien ... de soledad"".",Años,Literatura,Medio
O,Empieza,Figura retórica que consiste en la imitación de un sonido de la naturaleza o ruido a través de las palabras.,Onomatopeya,Literatura,Medio
O,Empieza,Figura literaria que consiste en combinar dos términos de significado opuesto en una misma expresión.,Oxímoron,Literatura,Medio
P,Empieza,"Texto previo a una obra literaria, a modo de introducción, que suele escribir el mismo autor u otra persona.",Prólogo,Literatura,Medio
P,Empieza,Figura retórica que consiste en atribuir cualidades o acciones humanas a animales o cosas inanimadas.,Personificación,Literatura,Medio
Q,Empieza,"Apellido del gran escritor español del Siglo de Oro, máximo representante del conceptismo.",Quevedo,Literatura,Medio
Q,Empieza,"Estrofa poética compuesta por cinco versos de arte menor, cuya rima puede variar bajo ciertas reglas.",Quintilla,Literatura,Medio
R,Empieza,"Movimiento literario del siglo XIX que daba prioridad a los sentimientos, la pasión y la rebeldía individual.",Romanticismo,Literatura,Medio
R,Empieza,"Poema tradicional hispánico de versos octosílabos, con rima asonante en los pares y libre en los impares.",Romance,Literatura,Medio
S,Empieza,Composición poética formada por catorce versos endecasílabos distribuidos en dos cuartetos y dos tercetos.,Soneto,Literatura,Medio
S,Empieza,"Obra literaria que critica de forma aguda y burlesca los vicios, costumbres o defectos de una sociedad.",Sátira,Literatura,Medio
T,Empieza,Subgénero dramático en el que los personajes se enfrentan a un destino fatal o doloroso e inevitable.,Tragedia,Literatura,Medio
T,Empieza,Conjunto de tres obras literarias de un mismo autor que tienen una relación o continuidad entre sí.,Trilogía,Literatura,Medio
U,Empieza,"Apellido del escritor y filósofo de la Generación del 98 que escribió obras como ""Niebla"".",Unamuno,Literatura,Medio
