Letra	Condición	Definición	Respuesta	Tema	Nivel	Idioma
V	Empieza por	Instrumento de cuerda frotada, el más pequeño de su familia, que se apoya en el hombro.	Violín	Música	Fácil	ES
V	Empieza por	Sonido emitido por las cuerdas vocales que el cantante utiliza como instrumento.	Voz	Música	Fácil	ES
W	Contiene la	Espectáculo en vivo, a menudo con gran despliegue visual de luces y música.	Show	Música	Fácil	ES
W	Contiene la	Estilo de jazz muy rítmico y bailable nacido en la década de 1930.	Swing	Música	Fácil	ES
X	Contiene la	Instrumento de viento metal, curvado, muy utilizado en el jazz y patentado por Adolphe Sax.	Saxofón	Música	Fácil	ES
X	Empieza por	Instrumento de percusión formado por láminas de madera afinadas que se golpean con mazos.	Xilófono	Música	Fácil	ES
Y	Contiene la	Práctica preparatoria que realizan los músicos antes de presentarse en directo.	Ensayo	Música	Fácil	ES
Y	Contiene la	Simulación de estar cantando o tocando mientras realmente suena una pista de audio grabada.	Playback	Música	Fácil	ES
Z	Contiene la	Sucesión de movimientos del cuerpo realizados al ritmo de la música.	Danza	Música	Fácil	ES
Z	Empieza por	Género musical escénico tradicional de España que mezcla partes cantadas y habladas.	Zarzuela	Música	Fácil	ES
A	Empieza por	Sucesión de los sonidos de un acorde tocados uno tras otro.	Arpegio	Música	Medio	ES
A	Empieza por	Composición musical escrita para una sola voz, típica de la ópera.	Aria	Música	Medio	ES
B	Empieza por	Voz masculina de registro medio, situada entre el tenor y el bajo.	Barítono	Música	Medio	ES
B	Empieza por	Palo corto con el que el director marca el compás a la orquesta.	Batuta	Música	Medio	ES
C	Empieza por	Entidad métrica musical compuesta por varias unidades de tiempo.	Compás	Música	Medio	ES
C	Empieza por	Signo que se coloca al principio del pentagrama para dar nombre a las notas.	Clave	Música	Medio	ES
D	Empieza por	Instrumento metálico en forma de horquilla que al vibrar da un tono puro para afinar.	Diapasón	Música	Medio	ES
D	Empieza por	Mezcla de sonidos que resultan faltos de armonía o crean tensión acústica.	Disonancia	Música	Medio	ES
E	Empieza por	Sucesión ordenada de notas musicales.	Escala	Música	Medio	ES
E	Empieza por	Pieza musical compuesta para perfeccionar una técnica instrumental específica.	Estudio	Música	Medio	ES
F	Empieza por	Técnica vocal que permite alcanzar notas más agudas que el registro natural.	Falsete	Música	Medio	ES
F	Empieza por	Pieza musical polifónica donde un tema se repite y desarrolla por diferentes voces.	Fuga	Música	Medio	ES
G	Empieza por	Deslizamiento rápido de un tono a otro continuo a través de los tonos intermedios.	Glissando	Música	Medio	ES
G	Empieza por	Música religiosa de origen afroamericano caracterizada por su energía y coros.	Góspel	Música	Medio	ES
H	Empieza por	Danza de origen cubano, de compás binario y ritmo pausado.	Habanera	Música	Medio	ES
H	Empieza por	Textura musical en la que varias voces se mueven simultáneamente con los mismos ritmos.	Homofonía	Música	Medio	ES
I	Empieza por	Distancia de altura que hay entre dos notas musicales.	Intervalo	Música	Medio	ES
I	Empieza por	Creación musical espontánea que se realiza en el momento de la interpretación.	Improvisación	Música	Medio	ES
J	Empieza por	Melodía publicitaria corta y fácil de recordar.	Jingle	Música	Medio	ES
J	Empieza por	Encuentro informal de músicos para tocar e improvisar sin ensayo previo.	Jam	Música	Medio	ES
K	Empieza por	Instrumento de viento pequeño que modifica la voz humana al zumbar en él.	Kazoo	Música	Medio	ES
K	Empieza por	Teclado electrónico que se cuelga al cuello como si fuera una guitarra.	Keytar	Música	Medio	ES
L	Empieza por	Texto que Contiene la los diálogos y las letras de una ópera o zarzuela.	Libreto	Música	Medio	ES
L	Empieza por	Artesano que construye, ajusta y repara instrumentos de cuerda.	Luthier	Música	Medio	ES
M	Empieza por	Aparato que marca con exactitud la velocidad a la que debe ir una obra musical.	Metrónomo	Música	Medio	ES
M	Empieza por	Composición breve para varias voces, típica del Renacimiento, generalmente de tema profano.	Madrigal	Música	Medio	ES
N	Empieza por	Pieza musical de carácter soñador y melancólico, popularizada por Chopin.	Nocturno	Música	Medio	ES
N	Empieza por	Símbolo musical usado en la notación gregoriana antes del pentagrama moderno.	Neuma	Música	Medio	ES
Ñ	Contiene la	Lámina flexible, generalmente de madera, que vibra en la boquilla de algunos instrumentos de viento.	Caña	Música	Medio	ES
Ñ	Contiene la	Danza popular gallega de compás ternario, acompañada frecuentemente por gaita.	Muñeira	Música	Medio	ES
O	Empieza por	Intervalo de ocho grados entre dos notas de la escala musical.	Octava	Música	Medio	ES
O	Empieza por	Pieza instrumental que precede y sirve de introducción a una ópera u obra extensa.	Obertura	Música	Medio	ES
P	Empieza por	Conjunto de cinco líneas paralelas y cuatro espacios donde se escriben las notas.	Pentagrama	Música	Medio	ES
P	Empieza por	Textura musical que combina varias voces o melodías independientes y simultáneas.	Polifonía	Música	Medio	ES
Q	Contiene la	Agrupación musical formada por cinco voces o instrumentos.	Quinteto	Música	Medio	ES
Q	Contiene la	Pequeña guitarra de tono agudo usada en la música tradicional hispanoamericana.	Requinto	Música	Medio	ES
R	Empieza por	Composición musical dedicada a la memoria de un difunto.	Réquiem	Música	Medio	ES
R	Empieza por	Frase musical corta y repetitiva que suele ser la base de una canción de rock.	Riff	Música	Medio	ES
S	Empieza por	Signo musical que eleva medio tono la altura de una nota natural.	Sostenido	Música	Medio	ES
S	Empieza por	Voz humana femenina de registro más agudo.	Soprano	Música	Medio	ES
T	Empieza por	Velocidad a la que debe interpretarse una composición musical.	Tempo	Música	Medio	ES
T	Empieza por	Resalte de metal en el mástil de la guitarra que separa las notas.	Traste	Música	Medio	ES
U	Empieza por	Formato de concierto o disco en el que se utilizan instrumentos acústicos en lugar de eléctricos.	Unplugged	Música	Medio	ES
U	Empieza por	Música alternativa que se desarrolla al margen de la industria comercial y masiva.	Underground	Música	Medio	ES
V	Empieza por	Fluctuación periódica en el tono o altura de una nota para darle expresividad.	Vibrato	Música	Medio	ES
V	Empieza por	Músico que domina de forma extraordinaria la técnica de su instrumento.	Virtuoso	Música	Medio	ES
W	Empieza por	Pedal de efectos para guitarra eléctrica que altera el tono creando un sonido vocal.	Wah-wah	Música	Medio	ES
W	Contiene la	Apellido del influyente músico británico conocido como el "Duque Blanco".	Bowie	Música	Medio	ES
X	Contiene la	Apellido del famoso e influyente guitarrista zurdo estadounidense de nombre Jimi.	Hendrix	Música	Medio	ES
X	Contiene la	Coro musical que está formado tanto por voces femeninas como masculinas.	Mixto	Música	Medio	ES
Y	Empieza por	Tambor africano con forma de cáliz que se toca directamente con las manos.	Yembé	Música	Medio	ES
Y	Empieza por	Canto tradicional de los Alpes caracterizado por cambios bruscos de registro vocal.	Yodel	Música	Medio	ES
Z	Empieza por	Instrumento rústico de fricción muy popular en España durante la Navidad.	Zambomba	Música	Medio	ES
Z	Contiene la	Técnica de tocar instrumentos de cuerda frotada pellizcando las cuerdas con los dedos.	Pizzicato	Música	Medio	ES
A	Empieza por	Nota o grupo de notas iniciales de una frase musical que preceden al primer tiempo fuerte.	Anacrusa	Música	Difícil	ES
A	Empieza por	Falta de tono o incapacidad cerebral para percibir o reconocer tonos musicales.	Amusia	Música	Difícil	ES
B	Empieza por	Estilo de jazz de los años 40 caracterizado por tempos rápidos, asimetría y virtuosismo.	Bebop	Música	Difícil	ES
B	Empieza por	Canto a dos voces donde una mantiene una nota pedal constante y grave.	Bordón	Música	Difícil	ES
C	Empieza por	Adorno vocal que consiste en un pasaje rápido de varias notas cantadas sobre una sola sílaba.	Coloratura	Música	Difícil	ES
C	Empieza por	Instrumento de teclado del periodo barroco cuyas cuerdas son pellizcadas por púas.	Clavecín	Música	Difícil	ES
D	Empieza por	Sistema musical de doce sonidos basado en la escala cromática introducido por Schoenberg.	Dodecafonismo	Música	Difícil	ES
D	Empieza por	Término italiano que indica la disminución gradual de la intensidad del sonido.	Decrescendo	Música	Difícil	ES
E	Empieza por	Primera parte de la forma sonata donde se presentan los temas principales de la obra.	Exposición	Música	Difícil	ES
E	Empieza por	Instrumento de cuerda percutida con teclado, de pequeño tamaño, antecesor del piano.	Espineta	Música	Difícil	ES
F	Empieza por	Agrupación musical formada exclusivamente por instrumentos de viento metal y percusión.	Fanfarria	Música	Difícil	ES
F	Empieza por	En notación musical, signo de calderón que indica una pausa prolongada a voluntad del intérprete.	Fermata	Música	Difícil	ES
G	Empieza por	Canto litúrgico oficial de la Iglesia católica romana, monofónico, a capela y en latín.	Gregoriano	Música	Difícil	ES
G	Empieza por	Instrumento de percusión metálico formado por láminas afinadas, usado en la orquesta sinfónica.	Glockenspiel	Música	Difícil	ES
H	Empieza por	Escala musical compuesta por siete sonidos diferentes.	Heptatónica	Música	Difícil	ES
H	Empieza por	Género musical folclórico peruano y andino de origen precolombino.	Huayno	Música	Difícil	ES
I	Empieza por	Modificación de la estructura armónica manteniendo las mismas notas pero cambiando la del bajo.	Inversión	Música	Difícil	ES
I	Empieza por	Canto litúrgico gregoriano que acompaña la entrada del celebrante en la misa.	Introito	Música	Difícil	ES
J	Empieza por	Danza y canto popular del Siglo de Oro español de carácter alegre, pícaro y burlesco.	Jácara	Música	Difícil	ES
J	Empieza por	Estilo de cante flamenco considerado el más primitivo, genuino y profundo.	Jondo	Música	Difícil	ES
K	Empieza por	Género de música instrumental tradicional de los judíos asquenazíes de Europa del Este.	Klezmer	Música	Difícil	ES
K	Empieza por	Instrumento tradicional de origen japonés, que consiste en una cítara de trece cuerdas.	Koto	Música	Difícil	ES
L	Empieza por	Pequeña indicación temática musical que representa a un personaje o idea, muy usada por Wagner.	Leitmotiv	Música	Difícil	ES
L	Empieza por	Instrumento antiguo de cuerda pulsada con el mástil doblado hacia atrás, popular en el Renacimiento.	Laúd	Música	Difícil	ES
M	Empieza por	Composición vocal polifónica, de tema generalmente religioso, nacida en el siglo XIII.	Motete	Música	Difícil	ES
M	Empieza por	Adorno vocal consistente en cantar varias notas seguidas sobre una misma sílaba del texto.	Melisma	Música	Difícil	ES
N	Empieza por	Corriente musical del siglo XX que buscaba la vuelta a las formas clásicas pero con lenguaje moderno.	Neoclasicismo	Música	Difícil	ES
N	Empieza por	En armonía, acorde de sexta que se forma sobre el segundo grado rebajado de una escala.	Napolitana	Música	Difícil	ES
Ñ	Contiene la	Instrumento de viento andino formado por tubos de caña de diferentes longitudes unidos en fila.	Zampoña	Música	Difícil	ES
Ñ	Contiene la	Instrumento musical antiguo de cuerda frotada, cuya rueda de resina se hace girar con una manivela.	Zanfoña	Música	Difícil	ES
O	Empieza por	Composición dramática musical, generalmente de tema religioso, sin escenificación ni vestuario.	Oratorio	Música	Difícil	ES
O	Empieza por	Figura rítmica de valoración especial formada por ocho notas que equivalen a seis de su misma especie.	Octillo	Música	Difícil	ES
P	Empieza por	Serie de danzas instrumentales del Barroco, término frecuentemente sinónimo de suite.	Partita	Música	Difícil	ES
P	Empieza por	Composición de forma libre, a menudo virtuosa, que suele servir de introducción a una fuga.	Preludio	Música	Difícil	ES
Q	Empieza por	Expresión vocal profunda y desgarradora, semejante a un lamento, característica del cante flamenco.	Quejío	Música	Difícil	ES
Q	Contiene la	Acción de tañer las campanas rítmicamente en señal de celebración o festividad.	Repique	Música	Difícil	ES
R	Empieza por	Forma musical de origen medieval en la que un tema principal o estribillo se alterna con temas secundarios.	Rondó	Música	Difícil	ES
R	Empieza por	Conjunto de las obras, canciones o papeles que un artista o compañía tiene preparados para interpretar.	Repertorio	Música	Difícil	ES
S	Empieza por	Pieza breve, a menudo parte de una sonata o sinfonía, de carácter ligero, rápido e independiente.	Scherzo	Música	Difícil	ES
S	Empieza por	Desplazamiento del acento musical a un tiempo o parte débil del compás.	Síncopa	Música	Difícil	ES
T	Empieza por	Intervalo musical que abarca tres tonos enteros, conocido en la Edad Media como el "diabolus in musica".	Tritono	Música	Difícil	ES
T	Empieza por	Sistema de afinación histórica y teórica que ajusta las distancias de los intervalos para afinar escalas.	Temperamento	Música	Difícil	ES
U	Empieza por	Sílaba original que daba nombre a la primera nota de la escala musical antes de ser sustituida por el "Do".	Ut	Música	Difícil	ES
U	Contiene la	Instrumento tradicional ruso de cuerdas pulsadas, parecido a una cítara.	Gusli	Música	Difícil	ES
V	Empieza por	Instrumento de cuerda frotada del Renacimiento y Barroco que se toca sostenido verticalmente entre las piernas.	Viola da gamba	Música	Difícil	ES
V	Empieza por	Instrumento renacentista de cuerda pulsada, similar a la guitarra, muy popular en la corte española.	Vihuela	Música	Difícil	ES
W	Empieza por	Apellido del compositor alemán, creador del monumental ciclo de cuatro óperas "El anillo del nibelungo".	Wagner	Música	Difícil	ES
W	Empieza por	Ópera atonal del compositor austriaco Alban Berg, de gran carga psicológica, estrenada en 1925.	Wozzeck	Música	Difícil	ES
X	Contiene la	Escala musical teórica de seis sonidos desarrollada en la Edad Media por Guido d'Arezzo.	Hexacordo	Música	Difícil	ES
X	Contiene la	Canto de alabanza litúrgica a Dios propio de la tradición cristiana ortodoxa y católica.	Doxología	Música	Difícil	ES
Y	Empieza por	Canto dulce y melancólico tradicional de los Andes, de origen incaico, que expresa tristeza.	Yaraví	Música	Difícil	ES
Y	Contiene la	Canción estrófica inglesa del Renacimiento escrita para voz solista con acompañamiento de laúd.	Ayre	Música	Difícil	ES
Z	Empieza por	Danza barroca española de compás ternario y movimiento solemne que formaba parte de la suite instrumental.	Zarabanda	Música	Difícil	ES
Z	Empieza por	Danza popular española y latinoamericana de ritmo vivo, ejecutada golpeando el suelo rítmicamente con los zapatos.	Zapateado	Música	Difícil	ES
A	Empieza por	Persona que crea o escribe una obra literaria.	Autor	Literatura	Fácil	ES
A	Empieza por	Narración breve y curiosa de un suceso real o divertido.	Anécdota	Literatura	Fácil	ES
B	Empieza por	Lugar, edificio o sala donde se guardan, consultan y prestan libros.	Biblioteca	Literatura	Fácil	ES
B	Empieza por	Libro o texto que cuenta la vida de una persona.	Biografía	Literatura	Fácil	ES
C	Empieza por	Narración breve de ficción, con argumento sencillo, muy habitual para niños.	Cuento	Literatura	Fácil	ES
C	Empieza por	Cada una de las partes principales en las que se divide un libro o novela.	Capítulo	Literatura	Fácil	ES
D	Empieza por	Conversación escrita entre dos o más personajes en una obra literaria o teatral.	Diálogo	Literatura	Fácil	ES
D	Empieza por	Libro que recoge y explica el significado de las palabras de un idioma.	Diccionario	Literatura	Fácil	ES
E	Empieza por	Persona que se dedica profesionalmente a escribir libros.	Escritor	Literatura	Fácil	ES
E	Empieza por	Obra de consulta que recoge conocimientos generales sobre muchas materias.	Enciclopedia	Literatura	Fácil	ES
F	Empieza por	Relato literario breve, a menudo con animales, que termina con una enseñanza o moraleja.	Fábula	Literatura	Fácil	ES
F	Empieza por	Tipo de literatura que narra historias, personajes y sucesos inventados o imaginarios.	Ficción	Literatura	Fácil	ES
G	Empieza por	Categoría para clasificar las obras literarias, como poesía, teatro o novela.	Género	Literatura	Fácil	ES
G	Empieza por	Texto escrito que Contiene la los diálogos y detalles para representar una obra teatral o película.	Guion	Literatura	Fácil	ES
H	Empieza por	Sucesión de hechos o eventos, reales o inventados, que se narran en un libro.	Historia	Literatura	Fácil	ES
H	Empieza por	Personaje principal de una obra literaria que realiza hazañas y actos valerosos.	Héroe	Literatura	Fácil	ES
I	Empieza por	Parte inicial de un libro que presenta el tema antes de comenzar a desarrollarlo.	Introducción	Literatura	Fácil	ES
I	Empieza por	Dibujo o imagen que acompaña al texto de un libro para adornarlo o explicarlo.	Ilustración	Literatura	Fácil	ES
J	Empieza por	Artista medieval que iba de pueblo en pueblo recitando poemas, historias y cantando.	Juglar	Literatura	Fácil	ES
J	Empieza por	Nombre de la joven protagonista que vive un trágico amor con Romeo en la obra de Shakespeare.	Julieta	Literatura	Fácil	ES
K	Empieza por	Apellido del famoso escritor checo autor de la novela "La metamorfosis".	Kafka	Literatura	Fácil	ES
K	Empieza por	Dispositivo electrónico muy popular creado por Amazon, diseñado específicamente para leer libros digitales.	Kindle	Literatura	Fácil	ES
L	Empieza por	Conjunto de hojas de papel impresas y encuadernadas que forman una obra que se puede leer.	Libro	Literatura	Fácil	ES
L	Empieza por	Persona que lee un libro, un texto o cualquier obra literaria.	Lector	Literatura	Fácil	ES
M	Empieza por	Enseñanza, consejo o lección moral que se deduce al final de una fábula.	Moraleja	Literatura	Fácil	ES
M	Empieza por	Relato tradicional, protagonizado por dioses o héroes, que explica el origen del mundo.	Mito	Literatura	Fácil	ES
N	Empieza por	Obra literaria extensa en prosa que cuenta una historia de ficción.	Novela	Literatura	Fácil	ES
N	Empieza por	Voz o personaje que se encarga de contar la historia en un relato o libro.	Narrador	Literatura	Fácil	ES
Ñ	Contiene la	Recuadro delimitado con dibujos y texto que forma parte de un cómic o historieta.	Viñeta	Literatura	Fácil	ES
Ñ	Contiene la	Escrito breve publicado en prensa o internet en el que se resume y valora un libro recién salido.	Reseña	Literatura	Fácil	ES
O	Empieza por	Creación literaria o artística, como un libro, un poema o un cuadro.	Obra	Literatura	Fácil	ES
O	Empieza por	Poema lírico de tono elevado creado para alabar, homenajear o celebrar a alguien o algo.	Oda	Literatura	Fácil	ES
P	Empieza por	Cada una de las dos caras de una hoja de papel dentro de un libro.	Página	Literatura	Fácil	ES
P	Empieza por	Composición literaria escrita en verso que expresa emociones, belleza o sentimientos.	Poema	Literatura	Fácil	ES
Q	Empieza por	Sobrenombre del famoso hidalgo creado por Cervantes que luchaba contra molinos de viento.	Quijote	Literatura	Fácil	ES
Q	Contiene la	Representación gráfica o resumen muy visual de las ideas principales de un texto.	Esquema	Literatura	Fácil	ES
R	Empieza por	Texto breve que expone las ideas principales o el argumento de un libro más largo.	Resumen	Literatura	Fácil	ES
R	Empieza por	Igualdad o semejanza de sonidos al final de los versos de un poema.	Rima	Literatura	Fácil	ES
S	Empieza por	Conjunto de libros o novelas que comparten el mismo universo, personajes o historia continuada.	Saga	Literatura	Fácil	ES
S	Empieza por	Apellido del escritor y dramaturgo inglés más famoso de todos los tiempos, autor de "Hamlet".	Shakespeare	Literatura	Fácil	ES
T	Empieza por	Nombre que se le da a un libro, cuento o poema para identificarlo.	Título	Literatura	Fácil	ES
T	Empieza por	Conjunto de palabras escritas que forman un mensaje, un documento o el contenido de un libro.	Texto	Literatura	Fácil	ES
U	Empieza por	Sociedad o lugar imaginario y perfecto descrito en la literatura, donde todo funciona con armonía.	Utopía	Literatura	Fácil	ES
U	Empieza por	Mundo imaginario y mágico creado por un autor para ambientar su historia, como el de Harry Potter.	Universo	Literatura	Fácil	ES
V	Empieza por	Cada una de las líneas o renglones cortos sujetos a ritmo que forman un poema.	Verso	Literatura	Fácil	ES
V	Empieza por	Cada uno de los libros individuales que forman una obra literaria o enciclopedia completa.	Volumen	Literatura	Fácil	ES
W	Empieza por	Famosa plataforma en internet donde escritores aficionados publican y leen historias gratis.	Wattpad	Literatura	Fácil	ES
W	Contiene la	Apellido de la escritora británica (J.K. ...) creadora del personaje Harry Potter.	Rowling	Literatura	Fácil	ES
X	Contiene la	Conjunto de palabras, vocabulario o expresiones que conoce o usa un escritor en su obra.	Léxico	Literatura	Fácil	ES
X	Contiene la	Parte final añadida a un libro donde se incluyen documentos, mapas o datos complementarios.	Anexo	Literatura	Fácil	ES
Y	Contiene la	Narración tradicional que mezcla hechos reales con sucesos maravillosos o fantásticos.	Leyenda	Literatura	Fácil	ES
Y	Contiene la	Texto literario en prosa en el que un autor reflexiona y opina sobre un tema específico.	Ensayo	Literatura	Fácil	ES
Z	Empieza por	Calzado de cristal que pierde la protagonista del cuento clásico "Cenicienta".	Zapato	Literatura	Fácil	ES
Z	Empieza por	Apellido del escritor español (José ...) famoso por ser el autor de la obra de teatro "Don Juan Tenorio".	Zorrilla	Literatura	Fácil	ES
A	Empieza por	Repetición de un mismo sonido en varias palabras de una misma frase para producir un efecto sonoro.	Aliteración	Literatura	Medio	ES
A	Empieza por	Recopilación de obras literarias notables, ya sean de un solo autor o de varios.	Antología	Literatura	Medio	ES
B	Empieza por	Libro de gran éxito comercial que alcanza rápidamente el número uno de ventas.	Best seller	Literatura	Medio	ES
B	Empieza por	Poema o novela que trata e idealiza la vida apacible de los pastores en el campo.	Bucólica	Literatura	Medio	ES
C	Empieza por	Obra dramática o teatral de tono alegre y divertido, que suele tener un final feliz.	Comedia	Literatura	Medio	ES
C	Empieza por	Poema en el que las letras de los versos forman un dibujo relacionado con el tema del texto.	Caligrama	Literatura	Medio	ES
D	Empieza por	Parte final de una obra literaria o teatral en la que se resuelve la trama o el conflicto.	Desenlace	Literatura	Medio	ES
D	Empieza por	Obra de teatro o cine en la que suceden acciones graves o desgraciadas, sin llegar a la tragedia.	Drama	Literatura	Medio	ES
E	Empieza por	Composición poética en la que el autor lamenta la muerte de una persona o una desgracia.	Elegía	Literatura	Medio	ES
E	Empieza por	Adjetivo que destaca una cualidad propia o característica del sustantivo al que acompaña, como "blanca nieve".	Epíteto	Literatura	Medio	ES
F	Empieza por	Novela dramática por episodios y de carácter popular que se publicaba antiguamente en los periódicos.	Folletín	Literatura	Medio	ES
F	Empieza por	Obra de teatro cómica, a menudo breve, con personajes y situaciones grotescas o exageradas.	Farsa	Literatura	Medio	ES
G	Empieza por	Corriente literaria que se caracteriza por atmósferas misteriosas, castillos ruinosos, terror y romance.	Gótico	Literatura	Medio	ES
G	Empieza por	Conjunto de escritores que viven en la misma época y comparten un estilo literario, como la del 98.	Generación	Literatura	Medio	ES
H	Empieza por	Figura retórica que consiste en alterar el orden lógico de las palabras en una oración para darle efecto poético.	Hipérbaton	Literatura	Medio	ES
H	Empieza por	Exageración desproporcionada de un hecho, cualidad o situación en un texto literario.	Hipérbole	Literatura	Medio	ES
I	Empieza por	Figura literaria mediante la cual se da a entender exactamente lo contrario de lo que se está diciendo.	Ironía	Literatura	Medio	ES
I	Empieza por	Acción misteriosa que sirve de base a la trama de una obra dramática, novela o de suspense.	Intriga	Literatura	Medio	ES
J	Empieza por	Conjunto de expresiones o vocabulario específico que utilizan los miembros de un determinado grupo social.	Jerga	Literatura	Medio	ES
J	Empieza por	Apellido del célebre escritor irlandés, famoso por su compleja y revolucionaria novela "Ulises".	Joyce	Literatura	Medio	ES
K	Empieza por	Apellido del escritor británico nacido en India (Rudyard ...), autor de "El libro de la selva".	Kipling	Literatura	Medio	ES
K	Contiene la	Poema breve tradicional japonés de diecisiete sílabas escritas en tres versos, habitualmente sobre la naturaleza.	Haiku	Literatura	Medio	ES
L	Empieza por	Género literario en el que el autor expresa sus sentimientos, pensamientos y emociones íntimas.	Lírica	Literatura	Medio	ES
L	Empieza por	Adjetivo usado para referirse a un escritor o poeta que ha sido galardonado o premiado con gran honor.	Laureado	Literatura	Medio	ES
M	Empieza por	Identificación de un término real con uno imaginario por la semejanza que existe entre ellos.	Metáfora	Literatura	Medio	ES
M	Empieza por	Discurso dicho por una sola persona que se dirige a sí misma o al público sin esperar respuesta.	Monólogo	Literatura	Medio	ES
N	Empieza por	Parte de una narración literaria donde surge el problema o el momento de mayor tensión antes del desenlace.	Nudo	Literatura	Medio	ES
N	Empieza por	Corriente literaria derivada del realismo que describe el comportamiento humano con extrema objetividad.	Naturalismo	Literatura	Medio	ES
Ñ	Contiene la	Pájaro cantor que protagoniza el verso "sino por una avecilla que me cantaba al albor" en un famoso romance.	Ruiseñor	Literatura	Medio	ES
