Letra	Condición	Definición	Respuesta	Tema	Nivel	Idioma
D	Empieza por	Película de Quentin Tarantino sobre un esclavo liberado que busca a su esposa en el sur de EEUU.	Django	Cine y TV	Medio	ES
D	Empieza por	Película de Denis Villeneuve sobre un planeta desértico y la lucha por el control de una especia valiosa.	Dune	Cine y TV	Medio	ES
D	Empieza por	Director americano conocido por thrillers como Fight Club y Seven.	David Fincher	Cine y TV	Medio	ES
D	Empieza por	Película de Walter Salles sobre el viaje de Ernesto Guevara en motocicleta por América Latina.	Diarios de motocicleta	Cine y TV	Difícil	ES
D	Empieza por	Película de Sidney Lumet de 1957 sobre doce jurados que deliberan sobre un caso de asesinato.	Doce hombres sin piedad	Cine y TV	Difícil	ES
D	Empieza por	Película de Akira Kurosawa sobre la amistad entre un explorador siberiano y un samurái.	Dersu Uzala	Cine y TV	Difícil	ES
E	Empieza por	Película animada de Disney sobre un cachorro de león que huye tras la muerte de su padre.	El Rey León	Cine y TV	Fácil	ES
E	Empieza por	Película animada de Disney sobre una familia colombiana con poderes mágicos.	Encanto	Cine y TV	Fácil	ES
E	Empieza por	Película de Steven Spielberg sobre un niño que hace amistad con un extraterrestre perdido en la Tierra.	E.T.	Cine y TV	Fácil	ES
E	Empieza por	Película de terror de William Friedkin sobre una niña poseída por el demonio.	El Exorcista	Cine y TV	Medio	ES
E	Empieza por	Saga épica de Peter Jackson basada en la obra de Tolkien sobre la destrucción de un anillo.	El Señor de los Anillos	Cine y TV	Medio	ES
E	Empieza por	Película de Jonathan Demme sobre una agente del FBI que busca a un asesino con ayuda de un caníbal.	El Silencio de los Corderos	Cine y TV	Medio	ES
E	Empieza por	Película de terror de Stanley Kubrick sobre un escritor que se vuelve loco en un hotel aislado.	El Resplandor	Cine y TV	Difícil	ES
E	Empieza por	Película de Ingmar Bergman sobre un caballero medieval que juega al ajedrez con la Muerte.	El Séptimo Sello	Cine y TV	Difícil	ES
E	Empieza por	Película de Francis Ford Coppola sobre una familia de la mafia italiana en Nueva York.	El Padrino	Cine y TV	Difícil	ES
F	Empieza por	Película animada de Disney sobre dos princesas, una con poderes para crear hielo.	Frozen	Cine y TV	Fácil	ES
F	Empieza por	Película de Robert Zemeckis sobre un hombre de Alabama que vive sin querer los eventos históricos del siglo XX.	Forrest Gump	Cine y TV	Fácil	ES
F	Empieza por	Película clásica de terror de James Whale de 1931 sobre el monstruo creado por un científico.	Frankenstein	Cine y TV	Fácil	ES
F	Empieza por	Película de los hermanos Coen sobre un secuestro en Minnesota que sale terriblemente mal.	Fargo	Cine y TV	Medio	ES
F	Empieza por	Película de David Fincher sobre un club clandestino de peleas que se convierte en algo más oscuro.	Fight Club	Cine y TV	Medio	ES
F	Empieza por	Película de ciencia ficción basada en la novela de Ray Bradbury sobre un mundo donde se queman los libros.	Fahrenheit 451	Cine y TV	Medio	ES
F	Empieza por	Película de Ingmar Bergman sobre un anciano que hace un viaje y reflexiona sobre su vida.	Fresas salvajes	Cine y TV	Difícil	ES
F	Empieza por	Director italiano conocido por La dolce vita y Ocho y medio.	Federico Fellini	Cine y TV	Difícil	ES
F	Empieza por	Película de Stanley Kubrick sobre un grupo de reclutas en el ejército durante la guerra de Vietnam.	Full Metal Jacket	Cine y TV	Difícil	ES
G	Empieza por	Película de Ridley Scott sobre un general romano convertido en gladiador que busca venganza.	Gladiador	Cine y TV	Fácil	ES
G	Empieza por	Musical de 1978 sobre el romance entre jóvenes en los años cincuenta protagonizado por John Travolta.	Grease	Cine y TV	Fácil	ES
G	Empieza por	Supervillano protagonista de la saga Mi Villano Favorito que convive con sus pequeños ayudantes.	Gru	Cine y TV	Fácil	ES
G	Empieza por	Película de Alfonso Cuarón sobre dos astronautas que quedan atrapados en el espacio tras un accidente.	Gravity	Cine y TV	Medio	ES
G	Empieza por	Película de Clint Eastwood sobre un veterano de guerra y su relación con sus vecinos inmigrantes.	Gran Torino	Cine y TV	Medio	ES
G	Empieza por	Película de terror de Jordan Peele sobre un joven afroamericano que visita a la familia de su novia.	Get Out	Cine y TV	Medio	ES
G	Empieza por	Director mexicano conocido por El laberinto del fauno y La forma del agua, ganadora del Óscar.	Guillermo del Toro	Cine y TV	Difícil	ES
G	Empieza por	Película de Martin Scorsese sobre jóvenes que ascienden en la mafia de Nueva York.	Goodfellas	Cine y TV	Difícil	ES
G	Empieza por	Película de John Cassavetes sobre una mujer que protege a un niño de la mafia en Nueva York.	Gloria	Cine y TV	Difícil	ES
H	Empieza por	Saga de películas basada en las novelas de J.K. Rowling sobre un joven mago.	Harry Potter	Cine y TV	Fácil	ES
H	Empieza por	Película animada de Disney sobre el hijo de Zeus que quiere convertirse en héroe.	Hércules	Cine y TV	Fácil	ES
H	Empieza por	Película de terror de John Carpenter sobre un asesino enmascarado que ataca en la noche.	Halloween	Cine y TV	Fácil	ES
H	Empieza por	Película de Spike Jonze sobre un hombre que se enamora del sistema operativo de su ordenador.	Her	Cine y TV	Medio	ES
H	Empieza por	Película de Martin Scorsese sobre un niño que vive escondido en la estación de París.	Hugo	Cine y TV	Medio	ES
H	Empieza por	Director inglés conocido como el maestro del suspense, autor de Psicosis y Vértigo.	Hitchcock	Cine y TV	Medio	ES
H	Empieza por	Película de Michael Mann sobre un detective y un ladrón que se enfrentan en Los Ángeles.	Heat	Cine y TV	Difícil	ES
H	Empieza por	Película de Woody Allen sobre tres hermanas y sus complicadas relaciones amorosas en Nueva York.	Hannah y sus hermanas	Cine y TV	Difícil	ES
H	Empieza por	Película de Alain Resnais sobre el amor entre una actriz francesa y un japonés en la ciudad de la bomba.	Hiroshima mon amour	Cine y TV	Difícil	ES
I	Empieza por	Aventurero arqueólogo protagonista de la saga de acción de Steven Spielberg.	Indiana Jones	Cine y TV	Fácil	ES
I	Empieza por	Película animada de Pixar sobre las emociones que viven dentro de la cabeza de una niña.	Intensamente	Cine y TV	Fácil	ES
I	Empieza por	Superhéroe de Marvel, millonario genio llamado Tony Stark que construye una armadura tecnológica.	Iron Man	Cine y TV	Fácil	ES
I	Empieza por	Película de Christopher Nolan sobre un equipo que roba ideas entrando en los sueños de las personas.	Inception	Cine y TV	Medio	ES
I	Empieza por	Película de terror basada en la novela de Stephen King sobre un payaso que aterroriza a un grupo de niños.	It	Cine y TV	Medio	ES
I	Empieza por	Película de Clint Eastwood sobre Nelson Mandela y el equipo de rugby de Sudáfrica.	Invictus	Cine y TV	Medio	ES
I	Empieza por	Película polaca sobre una novicia que descubre que es de origen judío antes de profesar sus votos.	Ida	Cine y TV	Difícil	ES
I	Empieza por	Película de Gaspar Noé rodada en orden cronológico inverso sobre una violación y sus consecuencias.	Irreversible	Cine y TV	Difícil	ES
I	Empieza por	Película de Douglas Sirk de 1959 sobre el amor interracial en los Estados Unidos de la posguerra.	Imitación de la vida	Cine y TV	Difícil	ES
J	Empieza por	Película de Todd Phillips sobre el origen del villano más famoso de Batman.	Joker	Cine y TV	Fácil	ES
J	Empieza por	Película sobre un juego de mesa mágico que cobra vida y arrastra a los jugadores a una aventura.	Jumanji	Cine y TV	Fácil	ES
J	Empieza por	Pirata protagonista de la saga Piratas del Caribe interpretado por Johnny Depp.	Jack Sparrow	Cine y TV	Fácil	ES
J	Empieza por	Espía británico del MI6 conocido como el agente 007 protagonista de una larga saga de películas.	James Bond	Cine y TV	Medio	ES
J	Empieza por	Serie de HBO de fantasía épica basada en las novelas de George R.R. Martin.	Juego de tronos	Cine y TV	Medio	ES
J	Empieza por	Película sobre la vida de Jackie Kennedy en los días posteriores al asesinato de su marido.	Jackie	Cine y TV	Medio	ES
J	Empieza por	Director francés de la Nouvelle Vague conocido por Sin aliento y Pierrot el loco.	Jean-Luc Godard	Cine y TV	Difícil	ES
J	Empieza por	Película de François Truffaut sobre la amistad entre dos hombres y el amor que comparten por la misma mujer.	Jules y Jim	Cine y TV	Difícil	ES
J	Empieza por	Película de Chantal Akerman sobre las rutinas diarias de una ama de casa en Bruselas.	Jeanne Dielman	Cine y TV	Difícil	ES
K	Empieza por	Película clásica sobre un enorme simio que escala el Empire State Building en Nueva York.	King Kong	Cine y TV	Fácil	ES
K	Empieza por	Película animada de DreamWorks sobre un guerrero panda que aprende artes marciales.	Kung Fu Panda	Cine y TV	Fácil	ES
K	Empieza por	Saga de Quentin Tarantino sobre una asesina que busca venganza contra sus excompañeros.	Kill Bill	Cine y TV	Medio	ES
K	Empieza por	Película de John Avildsen sobre un adolescente que aprende karate para defenderse de sus acosadores.	Karate Kid	Cine y TV	Medio	ES
K	Empieza por	Director británico considerado uno de los más influyentes de la historia, autor de 2001 y El Resplandor.	Kubrick	Cine y TV	Difícil	ES
K	Empieza por	Película de Robert Benton ganadora del Óscar a mejor película sobre un padre que lucha por la custodia de su hijo.	Kramer contra Kramer	Cine y TV	Difícil	ES
L	Empieza por	Película animada de Disney sobre una sirena que desea vivir en el mundo de los humanos.	La Sirenita	Cine y TV	Fácil	ES
L	Empieza por	Película animada de Pixar sobre un joven monster marino que pasa un verano en la costa italiana.	Luca	Cine y TV	Fácil	ES
L	Empieza por	Película musical de Damien Chazelle sobre una actriz y un músico de jazz que se enamoran en Los Ángeles.	La La Land	Cine y TV	Fácil	ES
L	Empieza por	Película de Luc Besson sobre un asesino a sueldo que protege a una niña cuya familia ha sido asesinada.	León	Cine y TV	Medio	ES
L	Empieza por	Película animada de Pixar sobre una familia de superhéroes que debe ocultar sus poderes.	Los Increíbles	Cine y TV	Medio	ES
L	Empieza por	Película de Steven Spielberg sobre un industrial alemán que salva a miles de judíos del Holocausto.	La lista de Schindler	Cine y TV	Medio	ES
L	Empieza por	Película de François Truffaut sobre un joven rebelde que escapa de un reformatorio en París.	Los 400 golpes	Cine y TV	Difícil	ES
L	Empieza por	Película de Federico Fellini sobre un periodista que se sumerge en la vida frívola de Roma.	La dolce vita	Cine y TV	Difícil	ES
L	Empieza por	Película de Jean Renoir de 1939 sobre una fiesta en el campo entre aristócratas y sus sirvientes.	La regla del juego	Cine y TV	Difícil	ES
M	Empieza por	Película animada de Disney sobre una guerrera china que se disfraza de hombre para ir a la guerra.	Mulan	Cine y TV	Fácil	ES
M	Empieza por	Película de ciencia ficción de los Wachowski sobre una simulación que controla a la humanidad.	Matrix	Cine y TV	Fácil	ES
M	Empieza por	Pequeños ayudantes amarillos protagonistas de sus propias películas animadas de Universal.	Minions	Cine y TV	Fácil	ES
M	Empieza por	Saga postapocalíptica de George Miller sobre un guerrero que sobrevive en un mundo sin ley.	Mad Max	Cine y TV	Medio	ES
M	Empieza por	Película de Christopher Nolan sobre un hombre que investiga el asesinato de su esposa sin poder formar recuerdos nuevos.	Memento	Cine y TV	Medio	ES
M	Empieza por	Película de terror de Rob Reiner basada en Stephen King sobre una fan que retiene a su escritor favorito.	Misery	Cine y TV	Medio	ES
M	Empieza por	Película de Fritz Lang de 1927 sobre una ciudad futurista dividida entre ricos y trabajadores.	Metrópolis	Cine y TV	Difícil	ES
M	Empieza por	Película de Woody Allen sobre un escritor que se enamora del Nueva York de los años cuarenta.	Manhattan	Cine y TV	Difícil	ES
M	Empieza por	Director americano conocido por Taxi Driver, Goodfellas y El lobo de Wall Street.	Martin Scorsese	Cine y TV	Difícil	ES
N	Empieza por	Pez payaso protagonista de la película de Pixar buscado por su padre a través del océano.	Nemo	Cine y TV	Fácil	ES
N	Empieza por	Saga de películas de fantasía basada en las novelas de C.S. Lewis sobre niños en un mundo mágico.	Narnia	Cine y TV	Fácil	ES
N	Empieza por	Película romántica de Roger Michell sobre un librero londinense que se enamora de una actriz americana.	Notting Hill	Cine y TV	Fácil	ES
N	Empieza por	Película muda de terror alemana de 1922 sobre un vampiro que aterroriza un pueblo.	Nosferatu	Cine y TV	Medio	ES
N	Empieza por	Película de Sidney Lumet de 1976 sobre la televisión americana y su obsesión por las audiencias.	Network	Cine y TV	Medio	ES
N	Empieza por	Película de los hermanos Coen sobre un asesino a sueldo que persigue a un cazador de ciervos en Texas.	No hay país para los viejos	Cine y TV	Medio	ES
N	Empieza por	Película de Robert Altman de 1975 sobre las historias cruzadas de varios personajes en una ciudad de country.	Nashville	Cine y TV	Difícil	ES
N	Empieza por	Cortometraje documental de Alain Resnais de 1955 sobre los campos de concentración nazis.	Noche y niebla	Cine y TV	Difícil	ES
N	Empieza por	Película de Alexander Payne sobre un anciano que viaja en coche desde Montana hasta Nebraska para cobrar un premio.	Nebraska	Cine y TV	Difícil	ES
O	Empieza por	Película de Steven Soderbergh sobre un grupo de ladrones que planean asaltar tres casinos de Las Vegas.	Ocean's Eleven	Cine y TV	Fácil	ES
O	Empieza por	Muñeco de nieve simpático y optimista protagonista de la película animada Frozen.	Olaf	Cine y TV	Fácil	ES
O	Empieza por	Personaje de Star Wars, maestro Jedi y mentor de Luke Skywalker interpretado por Alec Guinness.	Obi-Wan Kenobi	Cine y TV	Fácil	ES
O	Empieza por	Película coreana de Park Chan-wook sobre un hombre liberado tras quince años de cautiverio sin saber por qué.	Oldboy	Cine y TV	Medio	ES
O	Empieza por	Musical de 1968 basado en el Oliver Twist de Dickens ganador del Óscar a mejor película.	Oliver	Cine y TV	Medio	ES
O	Empieza por	Serie de Netflix sobre una familia que blanquea dinero en un lago de Missouri.	Ozark	Cine y TV	Medio	ES
O	Empieza por	Película de Federico Fellini sobre las ensoñaciones y el bloqueo creativo de un director de cine.	Ocho y medio	Cine y TV	Difícil	ES
O	Empieza por	Película de Carl Theodor Dreyer sobre la fe, la locura y un milagro en una granja danesa.	Ordet	Cine y TV	Difícil	ES
O	Empieza por	Director americano conocido por Ciudadano Kane, considerado uno de los mayores genios del cine.	Orson Welles	Cine y TV	Difícil	ES
P	Empieza por	Película animada de Disney sobre una marioneta de madera que quiere convertirse en niño de verdad.	Pinocho	Cine y TV	Fácil	ES
P	Empieza por	Película animada de Disney sobre una joven nativa americana y su amor por un explorador inglés.	Pocahontas	Cine y TV	Fácil	ES
P	Empieza por	Película animada de Disney sobre un niño que no quiere crecer y vive en el País de Nunca Jamás.	Peter Pan	Cine y TV	Fácil	ES
P	Empieza por	Película de Quentin Tarantino con historias entrelazadas en el mundo del crimen en Los Ángeles.	Pulp Fiction	Cine y TV	Medio	ES
P	Empieza por	Película de Alfred Hitchcock sobre un hombre que regenta un motel y tiene una relación perturbadora con su madre.	Psicosis	Cine y TV	Medio	ES
P	Empieza por	Película surcoreana de Bong Joon-ho ganadora del Óscar a mejor película en 2020.	Parasite	Cine y TV	Medio	ES
P	Empieza por	Película de Ingmar Bergman sobre dos mujeres cuyas identidades parecen fundirse la una con la otra.	Persona	Cine y TV	Difícil	ES
P	Empieza por	Película de Wim Wenders sobre un hombre que aparece en el desierto de Texas sin saber quién es.	Paris, Texas	Cine y TV	Difícil	ES
P	Empieza por	Primera película de la trilogía de Satyajit Ray sobre la vida de una familia pobre en la India rural.	Pather Panchali	Cine y TV	Difícil	ES
Q	Empieza por	Director americano conocido por Pulp Fiction, Kill Bill y Reservoir Dogs.	Quentin Tarantino	Cine y TV	Fácil	ES
Q	Empieza por	Película de animación de Disney y Spielberg sobre un conejo detective y un detective humano.	¿Quién engañó a Roger Rabbit?	Cine y TV	Fácil	ES
Q	Empieza por	Película de la saga James Bond en la que el agente 007 busca vengar la muerte de Vesper Lynd.	Quantum of Solace	Cine y TV	Medio	ES
Q	Empieza por	Película de Robert Redford sobre un escándalo de un concurso televisivo en los Estados Unidos de los años cincuenta.	Quiz Show	Cine y TV	Difícil	ES
R	Empieza por	Película animada de Pixar sobre una rata que sueña con convertirse en chef en un restaurante de París.	Ratatouille	Cine y TV	Fácil	ES
R	Empieza por	Película de John G. Avildsen sobre un boxeador de Filadelfia que aspira a ser campeón del mundo.	Rocky	Cine y TV	Fácil	ES
R	Empieza por	Película de animación de Disney sobre el famoso ladrón del bosque de Sherwood.	Robin Hood	Cine y TV	Fácil	ES
R	Empieza por	Película de Darren Aronofsky sobre la adicción a las drogas en el Baltimore de los años noventa.	Réquiem por un sueño	Cine y TV	Medio	ES
R	Empieza por	Película de Akira Kurosawa sobre un crimen contado desde cuatro puntos de vista diferentes.	Rashomon	Cine y TV	Medio	ES
R	Empieza por	Película de Alfonso Cuarón sobre la vida de una trabajadora doméstica en el México de los años setenta.	Roma	Cine y TV	Medio	ES
R	Empieza por	Película de Akira Kurosawa ambientada en el Japón feudal basada en la obra El Rey Lear de Shakespeare.	Ran	Cine y TV	Difícil	ES
R	Empieza por	Película de Roberto Rossellini sobre la liberación de Roma durante la Segunda Guerra Mundial.	Roma, ciudad abierta	Cine y TV	Difícil	ES
R	Empieza por	Director francés de la Nouvelle Vague conocido por Hiroshima mon amour y El año pasado en Marienbad.	Resnais	Cine y TV	Difícil	ES
S	Empieza por	Película animada de DreamWorks sobre un ogro verde y su amigo el burro que rescatan a una princesa.	Shrek	Cine y TV	Fácil	ES
S	Empieza por	Cachorro de león protagonista de El Rey León que debe reclamar su lugar en el reino de su padre.	Simba	Cine y TV	Fácil	ES
S	Empieza por	Superhéroe de Marvel, estudiante que fue picado por una araña radiactiva y lanza telarañas.	Spider-Man	Cine y TV	Fácil	ES
S	Empieza por	Película de Brian De Palma sobre un gángster cubano que construye un imperio de la droga en Miami.	Scarface	Cine y TV	Medio	ES
S	Empieza por	Película de David Fincher sobre dos detectives que investigan crímenes basados en los siete pecados capitales.	Seven	Cine y TV	Medio	ES
S	Empieza por	Película de Steven Spielberg sobre el desembarco de Normandía vista a través del rescate de un soldado.	Salvar al soldado Ryan	Cine y TV	Medio	ES
S	Empieza por	Película de Andrei Tarkovsky sobre tres hombres que se adentran en una zona misteriosa para encontrar un cuarto.	Stalker	Cine y TV	Difícil	ES
S	Empieza por	Película de Andrei Tarkovsky sobre un hombre que visita una estación espacial donde sus recuerdos cobran vida.	Solaris	Cine y TV	Difícil	ES
S	Empieza por	Película de Billy Wilder narrada por un guionista muerto flotando en la piscina de una ex estrella de cine.	Sunset Boulevard	Cine y TV	Difícil	ES
T	Empieza por	Saga de películas animadas de Pixar sobre los juguetes de un niño que cobran vida.	Toy Story	Cine y TV	Fácil	ES
T	Empieza por	Película de James Cameron sobre el naufragio del transatlántico más famoso de la historia.	Titanic	Cine y TV	Fácil	ES
T	Empieza por	Dios nórdico del trueno protagonista de su propia saga de películas en el universo Marvel.	Thor	Cine y TV	Fácil	ES
T	Empieza por	Película de James Cameron sobre un robot asesino enviado desde el futuro para eliminar a una mujer.	Terminator	Cine y TV	Medio	ES
T	Empieza por	Película de Christopher Nolan sobre una operación de espionaje que manipula el tiempo.	Tenet	Cine y TV	Medio	ES
T	Empieza por	Película de Pierre Morel sobre un ex agente que busca a su hija secuestrada en Europa.	Taken	Cine y TV	Medio	ES
T	Empieza por	Película de Martin Scorsese sobre un veterano de Vietnam que trabaja de taxista nocturno en Nueva York.	Taxi Driver	Cine y TV	Difícil	ES
T	Empieza por	Película de Pier Paolo Pasolini sobre un extraño que visita a una familia burguesa y cambia sus vidas.	Teorema	Cine y TV	Difícil	ES
T	Empieza por	Película de Charles Chaplin sobre el obrero frente a la mecanización de la vida moderna.	Tiempos modernos	Cine y TV	Difícil	ES
U	Empieza por	Película animada de Pixar sobre un anciano que hace volar su casa con miles de globos de colores.	Up	Cine y TV	Fácil	ES
U	Empieza por	Película de Ron Howard sobre el matemático John Nash y su lucha contra la esquizofrenia.	Una mente maravillosa	Cine y TV	Fácil	ES
U	Empieza por	Película de Martin Scorsese sobre jóvenes que ascienden dentro de los círculos de la mafia americana.	Uno de los nuestros	Cine y TV	Fácil	ES
U	Empieza por	Película iraní de Asghar Farhadi sobre la separación de un matrimonio y sus consecuencias.	Una separación	Cine y TV	Medio	ES
U	Empieza por	Película de Bryan Singer sobre un grupo de sospechosos interrogados tras un atraco, con un giro final sorprendente.	Usual Suspects	Cine y TV	Medio	ES
U	Empieza por	Película de David Lynch sobre un anciano que recorre Iowa en cortacésped para visitar a su hermano enfermo.	Una historia verdadera	Cine y TV	Medio	ES
U	Empieza por	Película de Vittorio De Sica sobre un anciano que busca su bicicleta robada por las calles de Roma.	Umberto D	Cine y TV	Difícil	ES
U	Empieza por	Película de Stanley Kubrick sobre el futuro de la violencia juvenil en una Inglaterra distópica.	Una naranja mecánica	Cine y TV	Difícil	ES
U	Empieza por	Cortometraje surrealista de Luis Buñuel y Salvador Dalí de 1929 cuya escena más famosa es un ojo cortado.	Un perro andaluz	Cine y TV	Difícil	ES
V	Empieza por	Película animada de Disney Pixar sobre una joven guerrera escocesa que busca cambiar su destino.	Valiente	Cine y TV	Fácil	ES
V	Empieza por	Película de Pedro Almodóvar sobre cuatro mujeres que regresan a su pueblo y ajustan cuentas con el pasado.	Volver	Cine y TV	Fácil	ES
V	Empieza por	Película de James McTeigue basada en el cómic sobre un enmascarado que lucha contra un gobierno totalitario.	V de Vendetta	Cine y TV	Fácil	ES
V	Empieza por	Película de Alfred Hitchcock sobre un detective con miedo a las alturas obsesionado con una misteriosa mujer.	Vértigo	Cine y TV	Medio	ES
V	Empieza por	Película japonesa de Kurosawa sobre un funcionario que descubre que tiene cáncer y decide dar sentido a su vida.	Vivir	Cine y TV	Medio	ES
V	Empieza por	Película española de horror de 2007 sobre una mujer que lleva a su hijo a una casa abandonada.	Verónica	Cine y TV	Medio	ES
V	Empieza por	Película de Luis Buñuel sobre una novicia española que hereda la casa de su tío y se enfrenta a sus inquilinos.	Viridiana	Cine y TV	Difícil	ES
V	Empieza por	Película de Jean-Luc Godard sobre una joven que vive al margen de la ley en el París de los sesenta.	Vivir su vida	Cine y TV	Difícil	ES
V	Empieza por	Película de Roberto Rossellini sobre una pareja en crisis que recorre el sur de Italia y descubre vestigios del pasado.	Viaje a Italia	Cine y TV	Difícil	ES
W	Empieza por	Película animada de Pixar sobre un robot que limpia la Tierra abandonada y se enamora.	Wall-E	Cine y TV	Fácil	ES
W	Empieza por	Superheroína de DC Comics y princesa amazona que lucha por la paz en el mundo de los hombres.	Wonder Woman	Cine y TV	Fácil	ES
W	Empieza por	Personaje excéntrico dueño de una fábrica de chocolate protagonista de la película de Tim Burton.	Willy Wonka	Cine y TV	Fácil	ES
W	Empieza por	Musical de Steven Spielberg sobre dos bandas rivales en el Nueva York de los años cincuenta.	West Side Story	Cine y TV	Medio	ES
W	Empieza por	Película de Kevin Costner ambientada en un futuro distópico donde los continentes están cubiertos de agua.	Waterworld	Cine y TV	Medio	ES
W	Empieza por	Director alemán conocido por Paris, Texas y Las alas del deseo.	Wim Wenders	Cine y TV	Medio	ES
W	Empieza por	Director alemán conocido por Aguirre, la cólera de Dios y Fitzcarraldo.	Werner Herzog	Cine y TV	Difícil	ES
W	Empieza por	Película de Billy Wilder sobre dos músicos que huyen de la mafia disfrazándose de mujeres.	With Some Like it Hot	Cine y TV	Difícil	ES
W	Empieza por	Director americano conocido por películas como Ben-Hur, La señora Miniver y Jezabel.	William Wyler	Cine y TV	Difícil	ES
X	Empieza por	Película de superhéroes de Marvel sobre un grupo de mutantes con poderes especiales.	X-Men	Cine y TV	Fácil	ES
X	Empieza por	Serie de televisión sobre una guerrera de la antigua Grecia que lucha por el bien y la justicia.	Xena	Cine y TV	Medio	ES
X	Empieza por	Serie de ciencia ficción de la Fox sobre dos agentes del FBI que investigan fenómenos paranormales.	X-Files	Cine y TV	Medio	ES
X	Empieza por	Película china de Joan Chen sobre una joven enviada al interior de Mongolia durante la Revolución Cultural.	Xiu Xiu	Cine y TV	Difícil	ES
Y	Empieza por	Pequeño maestro Jedi de Star Wars con orejas grandes que habla de forma peculiar.	Yoda	Cine y TV	Fácil	ES
Y	Empieza por	Película de Ken Loach sobre un trabajador desempleado que lucha contra la burocracia del sistema.	Yo, Daniel Blake	Cine y TV	Medio	ES
Y	Empieza por	Película de Edward Yang sobre tres generaciones de una familia de Taiwán en el umbral del nuevo milenio.	Yi Yi	Cine y TV	Difícil	ES
Z	Empieza por	Película animada de Disney sobre una ciudad habitada por animales donde una conejita se convierte en policía.	Zootopia	Cine y TV	Fácil	ES
